#Clinic,Clinic,#Doctor,Doctor,#Hospitalization reason,Hospitalization reason,#Follow up reason,Follow up reason
1,Région Ile de France,331,Dr BAYLAC Pierre,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,331,Dr BAYLAC Pierre,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,331,Dr BAYLAC Pierre,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,331,Dr BAYLAC Pierre,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,331,Dr BAYLAC Pierre,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,331,Dr BAYLAC Pierre,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1837,Dr BAYOUB Hasna,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1837,Dr BAYOUB Hasna,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1837,Dr BAYOUB Hasna,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1837,Dr BAYOUB Hasna,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1837,Dr BAYOUB Hasna,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1837,Dr BAYOUB Hasna,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1837,Dr BAYOUB Hasna,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1837,Dr BAYOUB Hasna,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1837,Dr BAYOUB Hasna,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1837,Dr BAYOUB Hasna,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1837,Dr BAYOUB Hasna,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1837,Dr BAYOUB Hasna,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,169,Dr BEAUCOTE Victor,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,169,Dr BEAUCOTE Victor,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,169,Dr BEAUCOTE Victor,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,169,Dr BEAUCOTE Victor,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,169,Dr BEAUCOTE Victor,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,169,Dr BEAUCOTE Victor,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,169,Dr BEAUCOTE Victor,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,169,Dr BEAUCOTE Victor,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,169,Dr BEAUCOTE Victor,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,169,Dr BEAUCOTE Victor,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,169,Dr BEAUCOTE Victor,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,169,Dr BEAUCOTE Victor,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1128,Dr BEAUDEAU Lauren Marylin,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1129,Dr BEAUDEQUIN Nausicaa,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1363,Dr BEAUFRERE Aurelie,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,579,Dr BEAUNE Sebastien,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,579,Dr BEAUNE Sebastien,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,579,Dr BEAUNE Sebastien,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,579,Dr BEAUNE Sebastien,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,579,Dr BEAUNE Sebastien,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,579,Dr BEAUNE Sebastien,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,579,Dr BEAUNE Sebastien,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,579,Dr BEAUNE Sebastien,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,579,Dr BEAUNE Sebastien,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,579,Dr BEAUNE Sebastien,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,579,Dr BEAUNE Sebastien,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,579,Dr BEAUNE Sebastien,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1460,Dr BEDBEDER Marion,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1460,Dr BEDBEDER Marion,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1460,Dr BEDBEDER Marion,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1460,Dr BEDBEDER Marion,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1460,Dr BEDBEDER Marion,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1460,Dr BEDBEDER Marion,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1460,Dr BEDBEDER Marion,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1460,Dr BEDBEDER Marion,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1460,Dr BEDBEDER Marion,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1460,Dr BEDBEDER Marion,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1460,Dr BEDBEDER Marion,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1460,Dr BEDBEDER Marion,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1787,Dr BEGGAZ Yasmine,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,333,Dr BEHTASH Ariana,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,333,Dr BEHTASH Ariana,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,333,Dr BEHTASH Ariana,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,333,Dr BEHTASH Ariana,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,333,Dr BEHTASH Ariana,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,333,Dr BEHTASH Ariana,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,333,Dr BEHTASH Ariana,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,333,Dr BEHTASH Ariana,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,333,Dr BEHTASH Ariana,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,333,Dr BEHTASH Ariana,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,333,Dr BEHTASH Ariana,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,333,Dr BEHTASH Ariana,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,196,Dr BEITZ Marie,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,196,Dr BEITZ Marie,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,196,Dr BEITZ Marie,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,196,Dr BEITZ Marie,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,196,Dr BEITZ Marie,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,196,Dr BEITZ Marie,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,196,Dr BEITZ Marie,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,196,Dr BEITZ Marie,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,196,Dr BEITZ Marie,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,196,Dr BEITZ Marie,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,196,Dr BEITZ Marie,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,196,Dr BEITZ Marie,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,335,Dr BELAN Adrien,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,335,Dr BELAN Adrien,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,335,Dr BELAN Adrien,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,335,Dr BELAN Adrien,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,335,Dr BELAN Adrien,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,335,Dr BELAN Adrien,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,335,Dr BELAN Adrien,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,335,Dr BELAN Adrien,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,335,Dr BELAN Adrien,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,335,Dr BELAN Adrien,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,335,Dr BELAN Adrien,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,335,Dr BELAN Adrien,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1390,Dr BELATTAR Amira,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1390,Dr BELATTAR Amira,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1390,Dr BELATTAR Amira,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1390,Dr BELATTAR Amira,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1390,Dr BELATTAR Amira,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1390,Dr BELATTAR Amira,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1390,Dr BELATTAR Amira,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1390,Dr BELATTAR Amira,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1390,Dr BELATTAR Amira,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1390,Dr BELATTAR Amira,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1390,Dr BELATTAR Amira,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1390,Dr BELATTAR Amira,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,695,Dr BELAUBE Nicolas,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,695,Dr BELAUBE Nicolas,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,695,Dr BELAUBE Nicolas,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,695,Dr BELAUBE Nicolas,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,695,Dr BELAUBE Nicolas,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,695,Dr BELAUBE Nicolas,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,695,Dr BELAUBE Nicolas,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,695,Dr BELAUBE Nicolas,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,695,Dr BELAUBE Nicolas,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,695,Dr BELAUBE Nicolas,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,695,Dr BELAUBE Nicolas,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,695,Dr BELAUBE Nicolas,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1567,Dr BELGHITH Imen,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1567,Dr BELGHITH Imen,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1567,Dr BELGHITH Imen,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1567,Dr BELGHITH Imen,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1567,Dr BELGHITH Imen,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1567,Dr BELGHITH Imen,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1567,Dr BELGHITH Imen,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1567,Dr BELGHITH Imen,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1567,Dr BELGHITH Imen,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1567,Dr BELGHITH Imen,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1567,Dr BELGHITH Imen,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1567,Dr BELGHITH Imen,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,4,Dr BELHOUARI Katia,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,4,Dr BELHOUARI Katia,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,4,Dr BELHOUARI Katia,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,4,Dr BELHOUARI Katia,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,4,Dr BELHOUARI Katia,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,4,Dr BELHOUARI Katia,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,4,Dr BELHOUARI Katia,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,4,Dr BELHOUARI Katia,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,4,Dr BELHOUARI Katia,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,4,Dr BELHOUARI Katia,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,4,Dr BELHOUARI Katia,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,4,Dr BELHOUARI Katia,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1347,Dr BELKACEM Anna,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1347,Dr BELKACEM Anna,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1347,Dr BELKACEM Anna,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1347,Dr BELKACEM Anna,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1347,Dr BELKACEM Anna,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1347,Dr BELKACEM Anna,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1347,Dr BELKACEM Anna,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1347,Dr BELKACEM Anna,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1347,Dr BELKACEM Anna,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1347,Dr BELKACEM Anna,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1347,Dr BELKACEM Anna,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1347,Dr BELKACEM Anna,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1072,Dr BELLAICHE Guy,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1072,Dr BELLAICHE Guy,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1072,Dr BELLAICHE Guy,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1072,Dr BELLAICHE Guy,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1072,Dr BELLAICHE Guy,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1072,Dr BELLAICHE Guy,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1072,Dr BELLAICHE Guy,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1072,Dr BELLAICHE Guy,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1072,Dr BELLAICHE Guy,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1072,Dr BELLAICHE Guy,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1072,Dr BELLAICHE Guy,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1072,Dr BELLAICHE Guy,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,161,Dr BELLARD Julie,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,161,Dr BELLARD Julie,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,161,Dr BELLARD Julie,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,161,Dr BELLARD Julie,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,161,Dr BELLARD Julie,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,161,Dr BELLARD Julie,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,161,Dr BELLARD Julie,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,161,Dr BELLARD Julie,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,161,Dr BELLARD Julie,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,161,Dr BELLARD Julie,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,161,Dr BELLARD Julie,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,161,Dr BELLARD Julie,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,159,Dr BELLET Anna,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,159,Dr BELLET Anna,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,159,Dr BELLET Anna,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,159,Dr BELLET Anna,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,159,Dr BELLET Anna,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,159,Dr BELLET Anna,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,159,Dr BELLET Anna,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,159,Dr BELLET Anna,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,159,Dr BELLET Anna,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,159,Dr BELLET Anna,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,159,Dr BELLET Anna,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,159,Dr BELLET Anna,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,798,Dr BELLOCQ Agnès,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,798,Dr BELLOCQ Agnès,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,798,Dr BELLOCQ Agnès,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,798,Dr BELLOCQ Agnès,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,798,Dr BELLOCQ Agnès,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,798,Dr BELLOCQ Agnès,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,798,Dr BELLOCQ Agnès,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,798,Dr BELLOCQ Agnès,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,798,Dr BELLOCQ Agnès,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,798,Dr BELLOCQ Agnès,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,798,Dr BELLOCQ Agnès,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,798,Dr BELLOCQ Agnès,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1477,Dr BELMATOUG Nadia,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1477,Dr BELMATOUG Nadia,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1477,Dr BELMATOUG Nadia,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1477,Dr BELMATOUG Nadia,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1477,Dr BELMATOUG Nadia,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1477,Dr BELMATOUG Nadia,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1477,Dr BELMATOUG Nadia,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1477,Dr BELMATOUG Nadia,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1477,Dr BELMATOUG Nadia,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1477,Dr BELMATOUG Nadia,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1477,Dr BELMATOUG Nadia,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1477,Dr BELMATOUG Nadia,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1537,Dr BELPOMME Vanessa,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1537,Dr BELPOMME Vanessa,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1537,Dr BELPOMME Vanessa,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1537,Dr BELPOMME Vanessa,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1537,Dr BELPOMME Vanessa,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1537,Dr BELPOMME Vanessa,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1537,Dr BELPOMME Vanessa,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1537,Dr BELPOMME Vanessa,4,Vu en consultation en ville,1,Patient à risque
